SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted r flux,Adopted r flux err,F275W-r Best,Adopted Best survey,Adopted Best,Adopted Best abs mag,Adopted Best flux,Adopted Best flux err,LegacySurvey r mag,LegacySurvey r abs mag,LegacySurvey r flux,LegacySurvey r flux err,LegacySurvey invvar+bkg r mag,LegacySurvey invvar+bkg r abs mag,LegacySurvey invvar+bkg r flux,LegacySurvey invvar+bkg r flux err,DES r mag,DES r abs mag,DES r flux,DES r flux err,PanSTARRS r mag,PanSTARRS r abs mag,PanSTARRS r flux,PanSTARRS r flux err,SkyMapper r mag,SkyMapper r abs mag,SkyMapper r flux,SkyMapper r flux err,Paper plot candidate
SN2013da,19.190 (0.007),-15.953 (0.007),1.594,LegacySurvey,17.596 (0.226),-17.547 (0.226),91.51005739059968,19.074387199961716,1.663,PanSTARRS,17.527 (0.019),-17.617 (0.019),975.5384875406986,15.365171714446468,17.515 (0.230),-17.629 (0.230),98.64434288423791,19.35702325613835,17.596 (0.226),-17.547 (0.226),91.51005739059968,19.074387199961716,,,,,17.527 (0.019),-17.617 (0.019),975.5384875406986,15.365171714446468,17.603 (0.012),-17.540 (0.012),26251.63422567976,269.54482140488255,True
SN2013dl,(23.408),(-11.045),$<2.956$,PanSTARRS,20.452 (0.047),-14.001 (0.047),65.92655732561104,2.570351557273042,$<2.956$,PanSTARRS,20.452 (0.047),-14.001 (0.047),65.92655732561104,2.570351557273042,20.070 (2.473),-14.384 (2.473),9.37956401508105,19.221825893951436,20.184 (0.879),-14.269 (0.879),8.439847683753516,6.831974087358484,,,0.0,,20.452 (0.047),-14.001 (0.047),65.92655732561104,2.570351557273042,20.583 (0.133),-13.871 (0.133),1648.776019843833,179.86809696208147,False
SN2013ef,21.958 (0.114),-12.435 (0.114),3.065,PanSTARRS,18.893 (0.054),-15.500 (0.054),277.3181456290955,12.02315971589247,3.065,PanSTARRS,18.893 (0.054),-15.500 (0.054),277.3181456290955,12.02315971589247,18.870 (0.904),-15.523 (0.904),28.313999777460545,20.528341614867625,19.020 (0.759),-15.372 (0.759),24.64915081969073,17.23632869103299,,,,,18.893 (0.054),-15.500 (0.054),277.3181456290955,12.02315971589247,19.763 (0.799),-14.630 (0.799),224.09517142216015,142.15514193111414,False
SN2013ex,20.855 (0.109),-12.394 (0.109),2.606,PanSTARRS,18.248 (0.022),-15.001 (0.022),501.9199993851762,7.635090603991768,2.606,PanSTARRS,18.248 (0.022),-15.001 (0.022),501.9199993851762,7.635090603991768,18.074 (0.815),-15.175 (0.815),58.92620995389411,33.57341405664341,18.374 (0.509),-14.875 (0.509),44.72042532097474,20.955293998794232,,,,,18.248 (0.022),-15.001 (0.022),501.9199993851762,7.635090603991768,18.864 (0.053),-14.385 (0.053),9883.230639467378,359.0100454489482,False
ASASSN-13ch,21.707 (0.119),-12.584 (0.119),2.519,LegacySurvey,19.188 (0.157),-15.103 (0.157),21.12454996388132,3.0473304918938933,2.584,PanSTARRS,19.123 (0.019),-15.168 (0.019),224.3104712524655,3.06832732152796,18.936 (1.090),-15.355 (1.090),26.65098041076545,21.206837817862915,19.188 (0.157),-15.103 (0.157),21.12454996388132,3.0473304918938933,,,,,19.123 (0.019),-15.168 (0.019),224.3104712524655,3.06832732152796,19.038 (0.043),-15.253 (0.043),6994.305141643557,216.04524069099455,False
ASASSN-13cj,20.155 (0.023),-14.135 (0.023),4.100,LegacySurvey,16.056 (0.033),-18.234 (0.033),378.1768832971778,11.573112044295174,4.164,PanSTARRS,15.992 (0.014),-18.298 (0.014),4011.4178078454006,45.00445230270895,15.904 (0.098),-18.386 (0.098),434.8296932177189,34.1453604107247,16.056 (0.033),-18.234 (0.033),378.1768832971778,11.573112044295174,,,,,15.992 (0.014),-18.298 (0.014),4011.4178078454006,45.00445230270895,16.141 (0.071),-18.149 (0.071),4876.3095545938995,273.3851614182336,False
ASASSN-13cp,(23.630),(-11.445),$<4.726$,LegacySurvey,18.904 (0.308),-16.172 (0.308),27.450073996903043,7.785515420449237,$<4.792$,PanSTARRS,18.838 (0.018),-16.237 (0.018),291.5553845068288,4.249275313191435,18.784 (0.636),-16.292 (0.636),30.653833177869743,16.072383546353592,18.904 (0.308),-16.172 (0.308),27.450073996903043,7.785515420449237,,,,,18.838 (0.018),-16.237 (0.018),291.5553845068288,4.249275313191435,,,,,False
ASASSN-13cu,20.708 (0.021),-14.689 (0.021),2.248,LegacySurvey,18.460 (0.116),-16.937 (0.116),41.31377193401431,4.402134121266684,2.472,PanSTARRS,18.235 (0.015),-17.161 (0.015),508.0631425426037,6.335172809424459,18.388 (0.404),-17.008 (0.404),44.11744083939034,15.367260771584869,18.460 (0.116),-16.937 (0.116),41.31377193401431,4.402134121266684,,,,,18.235 (0.015),-17.161 (0.015),508.0631425426037,6.335172809424459,18.378 (0.015),-17.019 (0.015),15837.97910507738,206.59397830206817,True
SN2008hv,22.552 (0.211),-11.159 (0.211),4.311,PanSTARRS,18.241 (0.019),-15.470 (0.019),505.5849034293225,8.098033733076871,4.311,PanSTARRS,18.241 (0.019),-15.470 (0.019),505.5849034293225,8.098033733076871,18.072 (0.552),-15.639 (0.552),59.026061669740066,28.21050908476013,18.139 (0.660),-15.572 (0.660),55.518782498861306,33.75375408058833,,,,,18.241 (0.019),-15.470 (0.019),505.5849034293225,8.098033733076871,18.871 (0.416),-14.840 (0.416),313.80781971819084,112.64847355467928,False
SN2013hk,19.318 (0.014),-15.043 (0.014),3.157,PanSTARRS,16.161 (0.014),-18.200 (0.014),3431.4244826744925,34.349225741533196,3.157,PanSTARRS,16.161 (0.014),-18.200 (0.014),3431.4244826744925,34.349225741533196,,,,,,,,,,,,,16.161 (0.014),-18.200 (0.014),3431.4244826744925,34.349225741533196,16.434 (0.048),-17.928 (0.048),3543.414273414747,120.81039268232888,False
